discount,explorationProb,step_size,num_sample_starts,step_multiplier,runtime,maze
0.81,0.6,0.3,20,10,0.04700517654418945,maze462_dim75.txt
0.97,0.7,0.55,12,9,0.04935169219970703,maze462_dim75.txt
0.9,0.26,0.34,14,18,0.04902219772338867,maze462_dim75.txt
0.99,0.54,0.22,3,20,0.04935884475708008,maze462_dim75.txt
0.89,0.28,0.8,3,8,0.047515869140625,maze462_dim75.txt
0.93,0.65,0.85,17,7,0.048583269119262695,maze462_dim75.txt
0.89,0.49,0.81,6,8,0.047403812408447266,maze462_dim75.txt
0.92,0.17,0.56,10,6,0.046256303787231445,maze462_dim75.txt
0.94,0.54,0.28,4,15,0.04759788513183594,maze462_dim75.txt
0.86,0.3,0.88,4,9,0.04670310020446777,maze462_dim75.txt
0.98,0.17,0.7,16,14,0.04967832565307617,maze462_dim75.txt
0.81,0.31,0.59,11,15,0.0491032600402832,maze462_dim75.txt
0.9,0.23,0.15,13,16,0.048078298568725586,maze462_dim75.txt
0.88,0.11,0.67,13,10,0.04778933525085449,maze462_dim75.txt
0.96,0.66,0.17,13,7,0.04797768592834473,maze462_dim75.txt
0.83,0.3,0.47,7,11,0.04894304275512695,maze462_dim75.txt
0.95,0.57,0.46,17,19,0.050429344177246094,maze462_dim75.txt
0.99,0.27,0.37,11,10,0.048342227935791016,maze462_dim75.txt
0.92,0.48,0.78,9,12,0.048545122146606445,maze462_dim75.txt
0.93,0.62,0.78,14,20,0.04839062690734863,maze462_dim75.txt
0.96,0.13,0.36,12,10,0.049135446548461914,maze462_dim75.txt
0.92,0.59,0.71,14,7,0.19993376731872559,maze373_dim147.txt
0.96,0.52,0.18,17,7,0.1962594985961914,maze373_dim147.txt
0.9,0.33,0.88,15,16,0.1959517002105713,maze373_dim147.txt
0.97,0.54,0.46,17,19,0.19679689407348633,maze373_dim147.txt
0.84,0.15,0.81,4,14,0.19923877716064453,maze373_dim147.txt
0.87,0.52,0.26,18,7,0.19873785972595215,maze373_dim147.txt
0.91,0.2,0.14,12,5,0.19489145278930664,maze373_dim147.txt
0.96,0.32,0.22,18,17,0.19777894020080566,maze373_dim147.txt
0.85,0.21,0.12,11,6,0.19838500022888184,maze373_dim147.txt
0.99,0.26,0.33,4,12,0.2005307674407959,maze373_dim147.txt
